Query,Title,Authors,Year,DOI
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),A Machine Learning Framework for Assessing the Risk of Venous Thromboembolism in Patients Undergoing Hip or Knee Replacement.,"Rasouli Dezfouli E, Delen D, Zhao H, Davazdahemami B",2022 Dec,10.1007/s41666-022-00121-2 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Plasma protein and venous thromboembolism: prospective cohort and mendelian randomisation analyses.,"Yuan S, Titova OE, Zhang K, Gou W, Schillemans T, Natarajan P, Chen J, Li X, kesson A, Bruzelius M, Klarin D, Damrauer SM, Larsson SC",2023 May,10.1111/bjh.18679 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),A narrative review of the application of machine learning in venous thromboembolism.,"Zou S, Wu Z",2023 Jan 19,10.1177/17085381231153216 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Machine learning predicts cancer-associated venous thromboembolism using clinically available variables in gastric cancer patients.,"Xu Q, Lei H, Li X, Li F, Shi H, Wang G, Sun A, Wang Y, Peng B",2023 Jan,e12681
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Automatic Detection of Adverse Drug Events in Geriatric Care: Study Proposal.,"Gaspar F, Lutters M, Beeler PE, Lang PO, Burnand B, Rinaldi F, Lovis C, Csajka C, Le Pogam MA",2022 Nov 15,e40456
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Development and validation of a machine learning model to predict venous thromboembolism among hospitalized cancer patients.,"Meng L, Wei T, Fan R, Su H, Liu J, Wang L, Huang X, Qi Y, Li X",2022 Dec,100128
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Subtype-specific plasma signatures of platelet-related protein releasate in acute pulmonary embolism.,"Baidildinova G, Ten Cate V, Nagler M, Panova-Noeva M, Rapp S, Kock T, Prochaska JH, Heitmeier S, Gerdes C, Schwers S, Konstantinides SV, Munzel T, Espinola-Klein C, Lackner KJ, Spronk HMN, Ten Cate H, van der Meijden PEJ, Leineweber K, Wild PS, Jurk K",2022 Dec,10.1016/j.thromres.2022.10.005 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),Machine learning algorithm as a prognostic tool for venous thromboembolism in allogeneic transplant patients.,"Deng RX, Zhu XL, Zhang AB, He Y, Fu HX, Wang FR, Mo XD, Wang Y, Zhao XY, Zhang YY, Han W, Chen H, Chen Y, Yan CH, Wang JZ, Han TT, Chen YH, Chang YJ, Xu LP, Huang XJ, Zhang XH",2023 Jan,10.1016/j.jtct.2022.10.007 [doi]
machine learning AND venous thromboembolism AND (1980[PDAT] : 2023[PDAT]),A gradient boosting tree model for multi-department venous thromboembolism risk assessment with imbalanced data.,"Ma H, Dong Z, Chen M, Sheng W, Li Y, Zhang W, Zhang S, Yu Y",2022 Oct,10.1016/j.jbi.2022.104210 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Serum metabolic signatures for acute pulmonary embolism identified by untargeted metabolomics.,"Xie M, Liu Y, Zheng H, Gao X, Liu R",2023,1169038
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Augmentation of the RSNA Pulmonary Embolism CT Dataset with Bounding Box Annotations and Anatomic Localization of Pulmonary Emboli.,"Callejas MF, Lin HM, Howard T, itken M, Napoleone M, Jimenez-Juan L, Moreland R, Mathur S, Deva DP, Colak E",2023 May,e230001
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Clinical features and risk factors of adverse clinical outcomes in central pulmonary embolism using machine learning analysis.,"Cantu-Martinez O, Martinez Manzano JM, Tito S, Prendergast A, Jarrett SA, Chiang B, Wattoo A, zmaiparashvili Z, Lo KB, Benzaquen S, Eiger G",2023 Aug-Sep,10.1016/j.rmed.2023.107295 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Role of artificial intelligence in oncologic emergencies: a narrative review.,"Fanni SC, Greco G, Rossi S, ghakhanyan G, Masala S, Scaglione M, Tonerini M, Neri E",2023,10.37349/etat.2023.00138 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),[The application value of deep learning image reconstruction on improving image quality and evaluating the Qanadli embolism index of dual low-dose CT pulmonaryangiography].,"Qiu SM, Zhang H, Liu ZX, Zhang L, Meng YK, Sun XN, Xie LX, Zhang YC, Wang H, Xu K",2023 May 23,10.3760/cma.j.cn112137-20230313-00392 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),"dentification, characterization, and engineering of glycosylation in thrombolytics.","Toul M, Slonkova V, Mican J, rminsky A, Tomkova M, Sedlak E, Bednar D, Damborsky J, Hernychova L, Prokop Z",2023 Sep,10.1016/j.biotechadv.2023.108174 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),"he Past, Present, and Future Role of Artificial Intelligence in Ventilation/Perfusion Scintigraphy: A Systematic Review.","Jabbarpour A, Ghassel S, Lang J, Leung E, Le Gal G, Klein R, Moulton E",2023 Apr 18,10.1053/j.semnuclmed.2023.03.002 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Machine learning prediction of venous thromboembolism after surgeries of major sellar region tumors.,"Qiao N, Zhang Q, Chen L, He W, Ma Z, Ye Z, He M, Zhang Z, Zhou X, Shen M, Shou X, Cao X, Wang Y, Zhao Y",2023 Jun,10.1016/j.thromres.2023.04.007 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Artificial intelligence-based diagnosis of acute pulmonary embolism: Development of a machine learning model using 12-lead electrocardiogram.,"Valente Silva B, Marques J, Nobre Menezes M, Oliveira AL, Pinto FJ",2023 Mar 30,10.1016/j.repc.2023.03.016 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),"Prediction of in-hospital adverse clinical outcomes in patients with pulmonary thromboembolism, machine learning based models.","Jenab Y, Hosseini K, Esmaeili Z, Tofighi S, riannejad H, Sotoudeh H",2023,1087702
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Machine learning to predict major bleeding during anticoagulation for venous thromboembolism: possibilities and limitations.,"Mora D, Mateo J, Nieto JA, Bikdeli B, Yamashita Y, Barco S, Jimenez D, Demelo-Rodriguez P, Rosa V, Yoo HHB, Sadeghipour P, Monreal M",2023 Jun,10.1111/bjh.18737 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Randomized Trial of Anticoagulation Strategies for Noncritically Ill Patients Hospitalized With COVID-19.,"Stone GW, Farkouh ME, Lala A, Tinuoye E, Dressler O, Moreno PR, Palacios IF, Goodman SG, Esper RB, bizaid A, Varade D, Betancur JF, Ricalde A, Payro G, Castellano JM, Hung IFN, Nadkarni GN, Giustino G, Godoy LC, Feinman J, Camaj A, Bienstock SW, Furtado RHM, Granada C, Bustamante J, Peyra C, Contreras J, Owen R, Bhatt DL, Pocock SJ, Fuster V",2023 May 9,10.1016/j.jacc.2023.02.041 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),oMT-Enabled Computer-Aided Diagnosis of Pulmonary Embolism from Computed Tomography Scans Using Deep Learning.,"Khan M, Shah PM, Khan IA, Islam SU, hmad Z, Khan F, Lee Y",2023 Jan 28,1471
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty.,"Shohat N, Ludwick L, Sherman MB, Fillingham Y, Parvizi J",2023 Feb 7,2197
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Deep Learning Analysis of Chest Radiographs to Triage Patients with Acute Chest Pain Syndrome.,"Kolossvary M, Raghu VK, Nagurney JT, Hoffmann U, Lu MT",2023 Feb,e221926
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),Optimizing the Diagnostic Algorithm for Pulmonary Embolism in Acute COPD Exacerbation Using Fuzzy Rough Sets and Support Vector Machine.,"Yu R, Kong X, Li Y",2023 Dec,10.1080/15412555.2022.2139671 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),"A new machine learning model for predicting severity prognosis in patients with pulmonary embolism: Study protocol from Wenzhou, China.","Su H, Shou Y, Fu Y, Zhao D, Heidari AA, Han Z, Wu P, Chen H, Chen Y",2022,1052868
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),"Detection of pulmonary embolism severity using clinical characteristics, hematological indices, and machine learning techniques.","Su H, Han Z, Fu Y, Zhao D, Yu F, Heidari AA, Zhang Y, Shou Y, Wu P, Chen H, Chen Y",2022,1029690
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),ntegrating machine learning predictions for perioperative risk management: Towards an empirical design of a flexible-standardized risk assessment tool.,"braham J, Bartek B, Meng A, Ryan King C, Xue B, Lu C, vidan MS",2023 Jan,10.1016/j.jbi.2022.104270 [doi]
machine learning AND pulmonary embolism AND (1980[PDAT] : 2023[PDAT]),A deep learning approach for automated diagnosis of pulmonary embolism on computed tomographic pulmonary angiography.,"jmera P, Kharat A, Seth J, Rathi S, Pant R, Gawali M, Kulkarni V, Maramraju R, Kedia I, Botchu R, Khaladkar S",2022 Nov 11,195
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),"Novel risk prediction models for deep vein thrombosis after thoracotomy and thoracoscopic lung cancer resections, involving coagulation and immune function.","Li J, Zhang F, Lan X, Li F, Tan C, Cao W",2023,20220617
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),"Novel risk prediction models, involving coagulation, thromboelastography, stress response, and immune function indicators, for deep vein thrombosis after radicalresection of cervical cancer and ovarian cancer.","Zhang J, Chen J, Yang X, Han J, Chen X, Fan Y, Zheng H",2023 Dec,10.1080/01443615.2023.2204162 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning prediction of venous thromboembolism after surgeries of major sellar region tumors.,"Qiao N, Zhang Q, Chen L, He W, Ma Z, Ye Z, He M, Zhang Z, Zhou X, Shen M, Shou X, Cao X, Wang Y, Zhao Y",2023 Jun,10.1016/j.thromres.2023.04.007 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Characterizing and Predicting Limited Early Response in Eyes With Retinal Vein Occlusion Using Machine Learning in Routine Clinical Practice.,"Kailar RS, Perkins SW, Kuo BL, Singh RP",2023 Apr,10.3928/23258160-20230317-01 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning to predict major bleeding during anticoagulation for venous thromboembolism: possibilities and limitations.,"Mora D, Mateo J, Nieto JA, Bikdeli B, Yamashita Y, Barco S, Jimenez D, Demelo-Rodriguez P, Rosa V, Yoo HHB, Sadeghipour P, Monreal M",2023 Jun,10.1111/bjh.18737 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Deep Learning Algorithm Enables Cerebral Venous Thrombosis Detection With Routine Brain Magnetic Resonance Imaging.,"Yang X, Yu P, Zhang H, Zhang R, Liu Y, Li H, Sun P, Liu X, Wu Y, Jia X, Duan J, Ji X, Yang Q",2023 May,10.1161/STROKEAHA.122.041520 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Deep learning-based classification of adequate sonographic images for self-diagnosing deep vein thrombosis.,"Nakayama Y, Sato M, Okamoto M, Kondo Y, Tamura M, Minagawa Y, chiyama M, Horii Y",2023,e0282747
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty.,"Shohat N, Ludwick L, Sherman MB, Fillingham Y, Parvizi J",2023 Feb 7,2197
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning predicts cancer-associated venous thromboembolism using clinically available variables in gastric cancer patients.,"Xu Q, Lei H, Li X, Li F, Shi H, Wang G, Sun A, Wang Y, Peng B",2023 Jan,e12681
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Artificial Intelligence-Based Prediction of Lower Extremity Deep Vein Thrombosis Risk After Knee/Hip Arthroplasty.,"Wang X, Xi H, Geng X, Li Y, Zhao M, Li F, Li Z, Ji H, Tian H",2023 Jan-Dec,10760296221139263
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Whole blood transcriptome identifies interferon-regulated genes as key drivers in thrombotic primary antiphospholipid syndrome.,"Verrou KM, Sfikakis PP, Tektonidou MG",2023 Jan,10.1016/j.jaut.2022.102978 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Developing and optimizing a machine learning predictive model for post-thrombotic syndrome in a longitudinal cohort of patients with proximal deep venousthrombosis.,"Wu Z, Li Y, Lei J, Qiu P, Liu H, Yang X, Chen T, Lu X",2023 May,10.1016/j.jvsv.2022.12.006 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),ntegrating machine learning predictions for perioperative risk management: Towards an empirical design of a flexible-standardized risk assessment tool.,"braham J, Bartek B, Meng A, Ryan King C, Xue B, Lu C, vidan MS",2023 Jan,10.1016/j.jbi.2022.104270 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Development and validation of a machine learning model to predict venous thromboembolism among hospitalized cancer patients.,"Meng L, Wei T, Fan R, Su H, Liu J, Wang L, Huang X, Qi Y, Li X",2022 Dec,100128
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Subtype-specific plasma signatures of platelet-related protein releasate in acute pulmonary embolism.,"Baidildinova G, Ten Cate V, Nagler M, Panova-Noeva M, Rapp S, Kock T, Prochaska JH, Heitmeier S, Gerdes C, Schwers S, Konstantinides SV, Munzel T, Espinola-Klein C, Lackner KJ, Spronk HMN, Ten Cate H, van der Meijden PEJ, Leineweber K, Wild PS, Jurk K",2022 Dec,10.1016/j.thromres.2022.10.005 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning algorithm as a prognostic tool for venous thromboembolism in allogeneic transplant patients.,"Deng RX, Zhu XL, Zhang AB, He Y, Fu HX, Wang FR, Mo XD, Wang Y, Zhao XY, Zhang YY, Han W, Chen H, Chen Y, Yan CH, Wang JZ, Han TT, Chen YH, Chang YJ, Xu LP, Huang XJ, Zhang XH",2023 Jan,10.1016/j.jtct.2022.10.007 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Longitudinal analysis of aqueous humour cytokine expression and OCT-based imaging biomarkers in retinal vein occlusions treated with anti-vascular endothelialgrowth factor therapy in the IMAGINE study.,"repalli S, Wykoff CC, braham JR, Lunasco L, Yu H, Hu M, Srivastava SK, Reese JL, Brown D, Ehlers JP",2023 Jun,10.1038/s41433-022-02265-2 [doi]
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning-based prediction of the post-thrombotic syndrome: Model development and validation study.,"Yu T, Shen R, You G, Lv L, Kang S, Wang X, Xu J, Zhu D, Xia Z, Zheng J, Huang K",2022,990788
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Etiology of Macular Edema Defined by Deep Learning in Optical Coherence Tomography Scans.,"Padilla-Pantoja FD, Sanchez YD, Quijano-Nieto BA, Perdomo OJ, Gonzalez FA",2022 Sep 1,29
machine learning AND deep vein thrombosis AND (1980[PDAT] : 2023[PDAT]),Machine learning predicts portal vein thrombosis after splenectomy in patients with portal hypertension: Comparative analysis of three practical models.,"Li J, Wu QQ, Zhu RH, Lv X, Wang WQ, Wang JL, Liang BY, Huang ZY, Zhang EL",2022 Aug 28,10.3748/wjg.v28.i32.4681 [doi]
artificial intelligence AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Mortality Risks after Two Years in Frail and Pre-Frail Older Adults Admitted to Hospital.,"Cano-Escalera G, Grana M, Irazusta J, Labayen I, Gonzalez-Pinto A, Besga A",2023 Apr 24,3103
artificial intelligence AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Cephalic inferior vena cava non-clamping technique versus standard procedure for robot-assisted laparoscopic level II-III thrombectomy: a prospective cohortstudy.,"Zhang Y, Bi H, Fu Y, Zhang H, Zhang S, Liu K, Liu L, Li N, Liu C, Tian X, Ma L",2023 Jun 1,10.1097/JS9.0000000000000209 [doi]
artificial intelligence AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Natural Language Processing in a Clinical Decision Support System for the Identification of Venous Thromboembolism: Algorithm Development and Validation.,"Jin ZG, Zhang H, Tai MH, Yang Y, Yao Y, Guo YT",2023 Apr 24,e43153
artificial intelligence AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Deep Learning Algorithm Enables Cerebral Venous Thrombosis Detection With Routine Brain Magnetic Resonance Imaging.,"Yang X, Yu P, Zhang H, Zhang R, Liu Y, Li H, Sun P, Liu X, Wu Y, Jia X, Duan J, Ji X, Yang Q",2023 May,10.1161/STROKEAHA.122.041520 [doi]
artificial intelligence AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Deep learning-based classification of adequate sonographic images for self-diagnosing deep vein thrombosis.,"Nakayama Y, Sato M, Okamoto M, Kondo Y, Tamura M, Minagawa Y, chiyama M, Horii Y",2023,e0282747
artificial intelligence AND venous thrombosis AND (1980[PDAT] : 2023[PDAT]),Using machine learning to predict venous thromboembolism and major bleeding events following total joint arthroplasty.,"Shohat N, Ludwick L, Sherman MB, Fillingham Y, Parvizi J",2023 Feb 7,2197
